graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
1,cosinus,1,47,20,14,0.41791,0.41791,"{1: {129, 516, 37, 680, 809, 330, 873, 589, 143, 720, 177, 497, 436, 278, 895, 120, 90, 604, 30, 543}}","{129, 516, 143, 16, 399, 21, 278, 895, 153, 410, 30, 543, 291, 675, 680, 809, 938, 940, 177, 180, 564, 828, 974, 976, 594, 471, 858, 604, 93, 352, 481, 98, 355, 483, 229, 105, 873, 236, 493, 497, 754, 247, 120, 634, 637, 254, 383}"
2,cosinus,1,33,20,9,0.33962,0.37877,"{1: {193, 2, 37, 8, 108, 140, 46, 79, 397, 145, 146, 115, 241, 531, 86, 666, 410, 219, 28, 639}}","{1, 2, 642, 132, 261, 262, 7, 8, 140, 410, 415, 160, 46, 302, 52, 53, 184, 448, 72, 968, 718, 79, 219, 93, 484, 105, 618, 108, 238, 368, 115, 757, 121}"
3,cosinus,1,41,20,18,0.59016,0.44923,"{1: {477, 992, 611, 358, 11, 779, 13, 336, 273, 51, 660, 85, 117, 182, 895, 603, 156, 157, 95, 63}}","{129, 513, 648, 10, 11, 779, 13, 273, 274, 660, 152, 793, 156, 157, 808, 297, 51, 563, 182, 185, 573, 63, 578, 975, 336, 81, 85, 87, 89, 603, 477, 990, 95, 96, 351, 737, 99, 611, 105, 117, 895}"
4,cosinus,1,37,20,14,0.49123,0.45973,"{1: {1, 97, 547, 37, 264, 106, 76, 846, 16, 849, 370, 51, 724, 85, 342, 757, 25, 61, 126, 286}}","{1, 6, 519, 264, 16, 666, 283, 291, 547, 37, 165, 806, 694, 184, 56, 58, 191, 68, 709, 73, 76, 464, 849, 724, 342, 217, 987, 94, 97, 106, 107, 876, 621, 370, 757, 122, 126}"
5,cosinus,1,42,20,13,0.41935,0.45166,"{1: {257, 227, 837, 294, 9, 43, 204, 235, 331, 909, 80, 18, 21, 246, 151, 215, 317, 221, 343, 95}}","{257, 265, 18, 146, 21, 533, 151, 793, 28, 29, 158, 160, 548, 294, 43, 302, 175, 176, 430, 436, 55, 61, 966, 457, 331, 76, 77, 80, 336, 215, 343, 986, 91, 221, 95, 227, 741, 103, 109, 367, 369, 753}"
6,cosinus,1,31,20,8,0.31373,0.42867,"{1: {288, 33, 384, 706, 960, 38, 828, 40, 41, 617, 712, 556, 717, 239, 399, 146, 20, 244, 119, 220}}","{513, 7, 650, 20, 540, 29, 288, 33, 289, 424, 41, 43, 47, 48, 177, 443, 571, 63, 960, 323, 582, 199, 712, 80, 91, 220, 480, 499, 244, 886, 631}"
7,cosinus,1,29,20,11,0.44898,0.43157,"{1: {65, 129, 99, 287, 292, 961, 329, 12, 77, 143, 175, 529, 146, 178, 856, 151, 56, 88, 413, 216}}","{387, 646, 12, 143, 271, 146, 275, 151, 25, 287, 42, 173, 686, 175, 178, 438, 56, 577, 963, 328, 329, 76, 853, 216, 856, 610, 233, 109, 505}"
8,cosinus,1,45,20,15,0.46154,0.43532,"{1: {0, 352, 418, 643, 868, 996, 136, 873, 441, 172, 46, 622, 114, 370, 84, 21, 213, 23, 89, 541}}","{2, 643, 133, 136, 521, 138, 21, 23, 541, 414, 160, 161, 418, 544, 672, 37, 172, 300, 429, 303, 944, 441, 59, 957, 446, 837, 456, 972, 84, 213, 726, 87, 89, 352, 356, 996, 358, 744, 237, 622, 111, 114, 499, 626, 127}"
9,cosinus,1,34,20,18,0.66667,0.46102,"{1: {4, 36, 100, 132, 197, 646, 810, 43, 172, 780, 15, 336, 527, 83, 20, 22, 598, 25, 26, 316}}","{4, 132, 389, 646, 780, 15, 913, 20, 22, 25, 26, 294, 681, 810, 43, 172, 45, 312, 316, 60, 197, 590, 336, 81, 83, 598, 216, 92, 993, 100, 374, 122, 636, 383}"
10,cosinus,1,30,20,8,0.32000,0.44692,"{1: {33, 577, 259, 741, 294, 73, 42, 841, 445, 557, 463, 720, 976, 93, 788, 152, 153, 444, 61, 31}}","{259, 903, 650, 909, 910, 147, 21, 152, 153, 283, 31, 933, 427, 174, 305, 307, 187, 955, 447, 577, 70, 73, 463, 720, 81, 855, 219, 481, 371, 376}"
