graphe_run,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
1,17,20,11,0.59459,0.59459,"{1: {129, 516, 37, 680, 809, 330, 873, 589, 143, 720, 177, 497, 436, 278, 895, 120, 90, 604, 30, 543}}","{129, 290, 516, 680, 809, 873, 938, 589, 720, 497, 305, 563, 895, 762, 27, 604, 543}"
2,14,20,8,0.47059,0.53259,"{1: {288, 36, 100, 262, 647, 43, 76, 205, 491, 92, 175, 18, 52, 117, 373, 567, 152, 628, 28, 383}}","{132, 701, 491, 76, 205, 781, 368, 628, 117, 373, 152, 92, 93, 445}"
3,11,20,10,0.64516,0.57011,"{1: {477, 992, 611, 358, 11, 779, 13, 336, 273, 51, 660, 85, 117, 182, 895, 603, 156, 157, 95, 63}}","{992, 11, 779, 660, 895, 157, 182, 793, 603, 477, 63}"
4,5,20,5,0.40000,0.52759,"{1: {1, 97, 547, 37, 264, 106, 76, 846, 16, 849, 370, 51, 724, 85, 342, 757, 25, 61, 126, 286}}","{547, 846, 16, 849, 724}"
5,8,20,7,0.50000,0.52207,"{1: {257, 227, 837, 294, 9, 43, 204, 235, 331, 909, 80, 18, 21, 246, 151, 215, 317, 221, 343, 95}}","{837, 294, 331, 109, 909, 18, 215, 343}"
6,11,20,8,0.51613,0.52108,"{1: {288, 33, 384, 706, 960, 38, 828, 40, 41, 617, 712, 556, 717, 239, 399, 146, 20, 244, 119, 220}}","{384, 960, 706, 770, 712, 41, 492, 717, 239, 828, 318}"
7,14,20,10,0.58824,0.53067,"{1: {2, 36, 37, 38, 388, 168, 9, 709, 924, 77, 910, 175, 498, 371, 372, 21, 979, 27, 508, 511}}","{37, 709, 168, 924, 939, 269, 910, 175, 176, 498, 371, 979, 53, 508}"
8,10,20,6,0.40000,0.51434,"{1: {0, 352, 418, 643, 868, 996, 136, 873, 441, 172, 46, 622, 114, 370, 84, 21, 213, 23, 89, 541}}","{352, 868, 996, 934, 744, 172, 525, 496, 370, 441}"
9,9,20,6,0.41379,0.50317,"{1: {4, 36, 100, 132, 197, 646, 810, 43, 172, 780, 15, 336, 527, 83, 20, 22, 598, 25, 26, 316}}","{100, 389, 132, 646, 616, 527, 598, 312, 25}"
10,18,20,9,0.47368,0.50022,"{1: {33, 577, 259, 741, 294, 73, 42, 841, 445, 557, 463, 720, 976, 93, 788, 152, 153, 444, 61, 31}}","{577, 859, 444, 70, 73, 42, 426, 716, 557, 745, 463, 841, 753, 788, 152, 378, 283, 380}"
