graphe_run,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
1,11,10,5,0.47619,0.47619,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{680, 809, 714, 873, 589, 177, 405, 731, 925, 30, 895}"
2,13,10,8,0.69565,0.58592,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{491, 76, 205, 781, 817, 978, 628, 117, 373, 724, 152, 92, 445}"
3,12,10,8,0.72727,0.63304,"{1: {3, 100, 230, 678, 777, 716, 591, 152, 410, 95}}","{226, 3, 100, 515, 678, 716, 591, 887, 152, 410, 91, 95}"
4,9,10,1,0.10526,0.50109,"{1: {1, 547, 37, 264, 76, 16, 849, 724, 25, 61}}","{384, 583, 76, 428, 238, 175, 273, 148, 407}"
5,11,10,7,0.66667,0.53421,"{1: {226, 123, 527, 464, 113, 639, 443, 472, 283, 319}}","{226, 548, 39, 527, 464, 639, 443, 57, 283, 956, 319}"
6,9,10,6,0.63158,0.55044,"{1: {384, 33, 706, 712, 41, 717, 239, 146, 20, 244}}","{384, 706, 643, 712, 41, 399, 239, 146, 983}"
7,4,10,0,0.00000,0.47180,"{1: {2, 37, 38, 709, 924, 910, 175, 372, 27, 508}}","{442, 803, 502, 534}"
8,19,10,0,0.00000,0.41283,"{1: {67, 36, 552, 363, 428, 377, 26, 91, 412, 223}}","{578, 287, 488, 522, 747, 759, 939, 79, 16, 304, 735, 148, 436, 439, 121, 123, 413, 606, 191}"
9,8,10,5,0.55556,0.42869,"{1: {36, 100, 197, 646, 43, 15, 83, 598, 25, 26}}","{132, 197, 646, 616, 43, 372, 598, 25}"
10,11,10,5,0.47619,0.43344,"{1: {33, 577, 294, 73, 42, 557, 463, 152, 153, 61}}","{577, 388, 73, 42, 557, 753, 147, 755, 759, 152, 378}"
11,17,10,8,0.59259,0.44791,"{1: {37, 679, 72, 112, 244, 53, 21, 952, 285, 30}}","{641, 355, 772, 37, 679, 750, 80, 112, 244, 21, 952, 88, 505, 285, 604, 93, 30}"
12,11,10,7,0.66667,0.46614,"{1: {33, 97, 35, 355, 901, 582, 167, 957, 155, 285}}","{896, 33, 35, 484, 901, 582, 957, 241, 121, 155, 285}"
13,8,10,3,0.33333,0.45592,"{1: {772, 840, 201, 10, 172, 428, 14, 528, 147, 438}}","{835, 840, 201, 554, 528, 146, 569, 762}"
14,7,10,4,0.47059,0.45697,"{1: {2, 70, 139, 142, 718, 48, 307, 372, 53, 86}}","{993, 139, 142, 718, 627, 307, 374}"
15,8,10,6,0.66667,0.47095,"{1: {289, 3, 804, 967, 10, 237, 432, 17, 434, 347}}","{289, 3, 548, 804, 967, 392, 432, 434}"
16,7,10,5,0.58824,0.47828,"{1: {610, 171, 588, 14, 434, 403, 562, 789, 23, 61}}","{617, 588, 562, 597, 789, 23, 61}"
17,11,10,6,0.57143,0.48376,"{1: {35, 408, 326, 614, 8, 40, 181, 277, 88, 508}}","{408, 711, 40, 74, 941, 432, 181, 277, 88, 508, 30}"
18,8,10,7,0.77778,0.50009,"{1: {7, 809, 42, 17, 530, 115, 85, 662, 253, 127}}","{809, 42, 17, 530, 115, 148, 662, 253}"
19,14,10,6,0.50000,0.50009,"{1: {193, 389, 42, 298, 14, 494, 565, 22, 343, 345}}","{640, 193, 165, 872, 298, 554, 494, 399, 818, 565, 22, 664, 345, 61}"
20,10,10,0,0.00000,0.47508,"{1: {192, 775, 627, 93, 53, 952, 88, 25, 122, 61}}","{224, 32, 676, 838, 231, 8, 656, 979, 601, 318}"
21,15,10,9,0.72000,0.48675,"{1: {897, 547, 12, 719, 817, 310, 23, 312, 91, 703}}","{897, 547, 867, 743, 839, 12, 719, 848, 310, 23, 312, 217, 91, 862, 703}"
22,12,10,7,0.63636,0.49355,"{1: {70, 136, 107, 11, 909, 336, 17, 275, 597, 757}}","{608, 136, 747, 909, 336, 17, 275, 597, 757, 284, 157, 798}"
23,5,10,3,0.40000,0.48948,"{1: {992, 929, 296, 488, 298, 23, 21, 215, 29, 222}}","{992, 138, 298, 492, 222}"
24,13,10,8,0.69565,0.49807,"{1: {608, 803, 8, 712, 337, 20, 406, 600, 27, 478}}","{803, 712, 332, 845, 337, 850, 862, 20, 406, 600, 27, 828, 478}"
