graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
1,cosinus,8,30,10,8,0.40000,0.40000,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 132, 264, 273, 533, 535, 409, 30, 160, 37, 680, 809, 177, 190, 838, 330, 714, 854, 731, 604, 351, 481, 870, 103, 873, 362, 108, 239, 120, 505}"
2,cosinus,8,24,10,3,0.17647,0.28824,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{0, 4, 10, 11, 141, 142, 17, 425, 170, 172, 312, 62, 63, 194, 455, 76, 82, 92, 860, 364, 116, 628, 248, 505}"
3,cosinus,8,19,10,5,0.34483,0.30710,"{1: {477, 11, 779, 273, 660, 85, 895, 603, 157, 63}}","{97, 161, 573, 774, 777, 11, 12, 336, 273, 115, 20, 85, 504, 313, 346, 91, 284, 157, 63}"
4,cosinus,8,23,10,6,0.36364,0.32123,"{1: {1, 547, 37, 264, 76, 16, 849, 724, 25, 61}}","{1, 132, 644, 264, 521, 16, 529, 542, 547, 296, 301, 175, 816, 66, 194, 76, 78, 849, 83, 224, 227, 107, 631}"
5,cosinus,8,36,10,8,0.34783,0.32655,"{1: {226, 123, 527, 464, 113, 639, 443, 472, 283, 319}}","{527, 275, 276, 406, 283, 156, 38, 39, 168, 170, 950, 185, 186, 443, 444, 574, 319, 65, 195, 837, 71, 456, 206, 464, 467, 86, 87, 346, 859, 226, 101, 742, 751, 119, 123, 639}"
6,cosinus,8,24,10,8,0.47059,0.35056,"{1: {384, 33, 706, 712, 41, 717, 239, 146, 20, 244}}","{384, 7, 523, 146, 151, 923, 41, 299, 50, 53, 57, 58, 187, 706, 835, 712, 73, 202, 717, 468, 988, 239, 244, 888}"
7,cosinus,8,23,10,3,0.18182,0.32645,"{1: {2, 37, 38, 709, 924, 910, 175, 372, 27, 508}}","{2, 395, 397, 418, 35, 292, 37, 294, 815, 52, 54, 438, 448, 578, 201, 587, 86, 747, 620, 237, 372, 502, 633}"
8,cosinus,8,26,10,4,0.22222,0.31342,"{1: {352, 868, 441, 172, 46, 622, 114, 370, 89, 541}}","{643, 12, 653, 909, 143, 539, 413, 803, 423, 310, 439, 313, 578, 69, 89, 218, 97, 868, 494, 622, 368, 114, 244, 247, 121, 636}"
9,cosinus,8,9,10,4,0.42105,0.32538,"{1: {36, 100, 197, 646, 43, 15, 83, 598, 25, 26}}","{384, 100, 132, 70, 7, 15, 399, 598, 26}"
10,cosinus,8,16,10,4,0.30769,0.32361,"{1: {579, 202, 589, 911, 944, 115, 501, 566, 825, 542}}","{481, 801, 865, 40, 457, 202, 491, 589, 845, 433, 115, 501, 919, 281, 317, 31}"
11,cosinus,8,19,10,5,0.34483,0.32554,"{1: {69, 327, 137, 42, 908, 205, 49, 723, 823, 157}}","{65, 130, 162, 69, 230, 871, 908, 205, 18, 403, 723, 125, 157, 856, 539, 505, 476, 92, 93}"
12,cosinus,8,21,10,3,0.19355,0.31454,"{1: {33, 97, 35, 355, 901, 582, 167, 957, 155, 285}}","{896, 259, 6, 12, 149, 789, 155, 417, 35, 167, 807, 41, 689, 436, 187, 234, 236, 241, 370, 755, 244}"
13,cosinus,8,10,10,2,0.20000,0.30573,"{1: {484, 166, 167, 231, 14, 50, 563, 21, 188, 478}}","{255, 36, 327, 137, 457, 14, 81, 51, 188, 63}"
