graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,Truehits,Noeud_predit
1,cosinus,1,3,10,0,0.00000,"{1: {64, 128, 389, 200, 447, 874, 906, 600, 510, 159}}","{544, 393, 431}"
2,cosinus,1,2,10,0,0.00000,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{494, 623}"
3,cosinus,1,3,10,0,0.00000,"{1: {477, 11, 779, 273, 660, 85, 895, 603, 157, 63}}","{161, 361, 335}"
4,cosinus,1,2,10,1,0.16667,"{1: {1, 547, 37, 264, 76, 16, 849, 724, 25, 61}}","{547, 614}"
5,cosinus,1,2,10,0,0.00000,"{1: {227, 837, 294, 331, 909, 80, 18, 21, 151, 221}}","{440, 956}"
1,cosinus,1,3,10,0,0.00000,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{321, 257, 116}"
1,cosinus,1,4,10,0,0.00000,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{160, 481, 948, 782}"
2,cosinus,1,14,10,1,0.08333,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{248, 131, 453, 103, 551, 363, 76, 600, 462, 622, 62, 282, 317, 126}"
3,cosinus,1,10,10,0,0.00000,"{1: {3, 100, 230, 678, 777, 716, 591, 152, 410, 95}}","{960, 161, 964, 327, 872, 207, 723, 374, 505, 220}"
1,cosinus,1,34,10,8,0.36364,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 132, 264, 273, 533, 535, 409, 925, 30, 31, 160, 37, 680, 809, 177, 190, 838, 330, 714, 854, 216, 731, 604, 481, 870, 103, 873, 362, 108, 364, 239, 240, 115, 120}"
1,cosinus,1,34,10,8,0.36364,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 132, 264, 273, 533, 535, 409, 925, 30, 31, 160, 37, 680, 809, 177, 190, 838, 330, 714, 854, 216, 731, 604, 481, 870, 103, 873, 362, 108, 364, 239, 240, 115, 120}"
2,cosinus,1,32,10,7,0.33333,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{0, 131, 4, 10, 11, 395, 522, 142, 271, 652, 17, 152, 927, 175, 62, 63, 455, 76, 205, 82, 978, 854, 728, 92, 860, 364, 116, 117, 628, 119, 248, 505}"
3,cosinus,1,27,10,9,0.48649,"{1: {801, 394, 462, 304, 56, 25, 346, 411, 29, 766}}","{777, 394, 11, 12, 523, 143, 22, 25, 411, 29, 801, 162, 304, 307, 56, 195, 965, 78, 462, 346, 91, 97, 106, 109, 115, 888, 504}"
4,cosinus,1,26,10,7,0.38889,"{1: {1, 547, 37, 264, 76, 16, 849, 724, 25, 61}}","{1, 264, 783, 16, 529, 413, 547, 175, 816, 310, 828, 830, 66, 194, 68, 201, 841, 76, 78, 849, 83, 724, 605, 224, 997, 631}"
1,cosinus,1,36,10,8,0.34783,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 132, 264, 649, 273, 533, 535, 409, 26, 925, 30, 31, 160, 37, 680, 809, 177, 190, 838, 330, 714, 854, 216, 731, 604, 481, 870, 103, 873, 362, 108, 364, 239, 240, 115, 120}"
1,cosinus,1,35,10,8,0.35556,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 132, 264, 273, 533, 535, 409, 925, 30, 31, 160, 37, 680, 809, 177, 190, 838, 330, 714, 854, 216, 984, 731, 604, 481, 870, 103, 873, 362, 108, 364, 239, 240, 115, 120}"
