graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
1,cosinus,1,7,10,1,0.11765,0.11765,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{37, 115, 533, 854, 216, 409, 31}"
2,cosinus,1,6,10,5,0.62500,0.37132,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{76, 205, 652, 175, 628, 92}"
3,cosinus,1,2,10,1,0.16667,0.30310,"{1: {477, 11, 779, 273, 660, 85, 895, 603, 157, 63}}","{336, 85}"
4,cosinus,1,12,10,1,0.09091,0.25006,"{1: {1, 547, 37, 264, 76, 16, 849, 724, 25, 61}}","{928, 547, 933, 464, 721, 594, 373, 85, 406, 952, 924, 893}"
5,cosinus,1,8,10,3,0.33333,0.26671,"{1: {227, 837, 294, 331, 909, 80, 18, 21, 151, 221}}","{837, 294, 956, 268, 909, 859, 444, 126}"
6,cosinus,1,6,10,4,0.50000,0.30559,"{1: {384, 33, 706, 712, 41, 717, 239, 146, 20, 244}}","{384, 706, 41, 299, 717, 57}"
7,cosinus,1,3,10,1,0.15385,0.28391,"{1: {2, 37, 38, 709, 924, 910, 175, 372, 27, 508}}","{52, 294, 175}"
8,cosinus,1,8,10,4,0.44444,0.30398,"{1: {352, 868, 441, 172, 46, 622, 114, 370, 89, 541}}","{352, 541, 868, 554, 148, 439, 89, 413}"
9,cosinus,1,2,10,0,0.00000,0.27021,"{1: {36, 100, 197, 646, 43, 15, 83, 598, 25, 26}}","{85, 399}"
10,cosinus,1,8,10,0,0.00000,0.24318,"{1: {579, 202, 589, 911, 944, 115, 501, 566, 825, 542}}","{1, 769, 67, 865, 844, 433, 919, 670}"
