graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
1,cosinus,2,3,10,3,0.46154,0.46154,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{809, 873, 895}"
2,cosinus,2,2,10,1,0.16667,0.31410,"{1: {193, 108, 397, 46, 79, 145, 146, 115, 241, 410}}","{193, 905}"
3,cosinus,2,2,10,0,0.00000,0.20940,"{1: {477, 11, 779, 273, 660, 85, 895, 603, 157, 63}}","{938, 115}"
1,cosinus,1,8,10,6,0.66667,0.66667,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 37, 680, 809, 873, 895, 31, 639}"
2,cosinus,1,2,10,0,0.00000,0.33333,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{860, 63}"
3,cosinus,1,6,10,5,0.62500,0.43056,"{1: {742, 648, 138, 107, 16, 81, 497, 152, 283, 223}}","{742, 648, 361, 497, 283, 223}"
4,cosinus,1,9,10,4,0.42105,0.42818,"{1: {1, 547, 37, 264, 76, 16, 849, 724, 25, 61}}","{1, 201, 841, 175, 16, 849, 724, 118, 219}"
5,cosinus,1,5,10,0,0.00000,0.34254,"{1: {226, 123, 527, 464, 113, 639, 443, 472, 283, 319}}","{751, 528, 950, 86, 87}"
6,cosinus,1,3,10,0,0.00000,0.28545,"{1: {384, 33, 706, 712, 41, 717, 239, 146, 20, 244}}","{832, 660, 236}"
7,cosinus,1,2,10,0,0.00000,0.24467,"{1: {2, 37, 38, 709, 924, 910, 175, 372, 27, 508}}","{344, 898}"
8,cosinus,1,2,10,0,0.00000,0.21409,"{1: {352, 868, 441, 172, 46, 622, 114, 370, 89, 541}}","{636, 909}"
